Thành viên, Cống hiếnTuần này, C.CôngTuần này, Trợ côngTuần này, Quyên tặngTuần này, Cống hiếnTổng lượng, C.CôngTổng lượng, Trợ côngTổng lượng, Quyên tặngTổng lượng, Điểm T.Lực, Thuộc Châu, Nhóm
AnhMinhCQ, 14204999, 9073, 9426, 0, 18778337, 9703, 14296, 0, 19972, Quan Trung, B
kieucute, 16233145, 8353, 6661, 0, 20765418, 8381, 10244, 4669, 19496, Quan Trung, B
MạnhTử, 27955046, 7842, 5926, 0, 27955046, 7842, 5926, 0, 22749, Quan Trung, A
MinhVũ, 46013635, 7755, 3500, 0, 54092151, 7755, 3500, 0, 24926, Quan Trung, B
NhanHueVuong, 16206664, 7223, 4630, 49212, 23959024, 7233, 7102, 49212, 19953, Quan Trung, C
GiiaCattLuong, 18712860, 7195, 8270, 0, 25192850, 7195, 18683, 0, 22163, Quan Trung, B
jh, 14850504, 6364, 3367, 0, 21633244, 6364, 4067, 0, 21100, Quan Trung, C
girlkiller, 10655900, 6343, 6159, 0, 12432456, 6343, 6159, 0, 10854, Quan Trung, A
Kiien, 18875997, 5860, 8744, 131586, 23143918, 5860, 9874, 131586, 21193, Quan Trung, C
nhinudatinh, 20886840, 5834, 8561, 0, 27804694, 5834, 10400, 0, 23459, Quan Trung, C
Bàoii, 5481000, 5734, 11394, 0, 8602768, 5790, 12467, 0, 9360, Quan Trung, B
Babyshark, 4447865, 5280, 2688, 0, 8498133, 5280, 6165, 0, 11070, Quan Trung, B
MKhôi, 13446464, 5167, 8749, 0, 16704893, 5167, 10775, 0, 18519, Quan Trung, A
XếĐộp, 13199159, 5012, 8401, 0, 16015503, 5012, 13985, 0, 18455, Quan Trung, B
lubuzz, 13602516, 4856, 2749, 142647, 17079444, 4856, 4507, 142647, 18460, Quan Trung, A
SEE, 10243359, 4830, 3194, 0, 10243359, 4830, 3194, 0, 20155, Quan Trung, A
SangSang, 21034454, 4548, 7217, 0, 27466970, 4548, 13809, 0, 21293, Quan Trung, C
hiiiiiiiiki, 15729364, 4512, 7032, 0, 16217177, 4512, 7032, 0, 20140, Quan Trung, C
GiaCácLượng, 7821833, 4455, 16426, 0, 10216498, 4455, 25353, 0, 16510, Quan Trung, C
thicmynhan, 4636203, 4368, 11529, 0, 8185701, 4370, 18997, 0, 14354, Quan Trung, C
Ganura, 222456, 4223, 826, 0, 20108641, 7605, 826, 0, 19435, Quan Trung, B
TrT, 2925100, 4069, 14459, 2653820, 2925100, 4069, 14459, 2653820, 14118, Tây Lương, A
Hùng, 5524790, 4011, 9097, 0, 6897968, 4011, 10616, 0, 13606, Quan Trung, C
GiaCat, 18226383, 3649, 9121, 0, 24102864, 3649, 9121, 0, 22811, Quan Trung, C
HPB, 14214857, 3566, 4131, 0, 16795156, 3566, 5181, 0, 20220, Quan Trung, C
TiểuVôKỵ, 14217487, 3474, 8562, 0, 18401893, 3526, 14301, 51962, 21563, Quan Trung, C
MộngDu, 23097292, 3315, 5222, 0, 30513341, 3315, 6392, 0, 22486, Quan Trung, C
laodai, 10723707, 2689, 4312, 0, 13763230, 2742, 8355, 0, 13987, Quan Trung, C
TưMãÝ3, 23692602, 2689, 2482, 0, 23692602, 2689, 2482, 0, 23550, Quan Trung, C
Miki, 296587, 2347, 350, 0, 296587, 2347, 350, 0, 17683, Tây Lương, Chưa chia nhóm
Hantrumsever, 1939289, 2298, 5200, 651097, 3253665, 2298, 11465, 651097, 12806, Quan Trung, C
bachtran, 2189847, 2282, 700, 0, 2189847, 2282, 700, 0, 13496, Quan Trung, C
GiaCatBao, 1950415, 2272, 4726, 187472, 2479818, 2272, 4726, 187472, 10043, Hà Bắc, C
namduy, 19201989, 1804, 5320, 0, 24352101, 1804, 5790, 0, 19393, Hà Bắc, C
Trạch, 9230692, 1755, 11389, 633128, 15162284, 1931, 21922, 633128, 19409, Quan Trung, C
Tuntt, 8154130, 1204, 10800, 520188, 13834461, 1472, 14696, 520188, 12792, Hà Bắc, C
quangminh, 18117111, 1088, 2734, 0, 21761240, 1088, 2734, 0, 19043, Quan Trung, C
Seann, 6803633, 889, 1989, 0, 7591281, 889, 2129, 0, 13393, Quan Trung, A
huymavo, 3521373, 726, 3750, 161939, 4871286, 889, 3750, 183993, 13613, Hà Bắc, C
VũHầu, 7535785, 687, 3150, 0, 10143382, 687, 3769, 0, 18460, Quan Trung, B
LưuThống, 8269276, 473, 3621, 0, 8269276, 473, 3621, 0, 18415, Quan Trung, A
Hoàn, 1884879, 413, 2540, 0, 1910949, 413, 3240, 0, 8523, Hà Bắc, A
katuchan, 16280102, 395, 8119, 0, 20550304, 419, 10317, 0, 14353, Quan Trung, C
Nhím, 10228250, 379, 474, 0, 11453919, 379, 474, 0, 13130, Quan Trung, C
Hôgia, 2257572, 189, 1400, 0, 3372460, 244, 1617, 0, 6310, Hà Bắc, C
bại, 12405894, 131, 2509, 0, 13153062, 131, 2509, 0, 16700, Quan Trung, C
LuuHuyenLenh, 34339, 8, 350, 0, 1738587, 8, 350, 0, 4336, Hà Bắc, C
TAOTHAO, 7821657, 1, 350, 0, 11760462, 1, 350, 0, 14633, Hà Bắc, B
hỏilàmj, 1329087, 0, 0, 0, 1329087, 0, 0, 0, 17872, Tây Lương, A
Andinguroi, 176064, 0, 0, 0, 723389, 0, 0, 0, 5546, Hà Bắc, Chưa chia nhóm
KinĐầuGhẻ, 1444899, 0, 0, 0, 1444899, 0, 0, 0, 13123, Tây Lương, C
tokyo, 402578, 0, 0, 0, 402658, 0, 0, 0, 2866, Hà Bắc, C
NhặtXácEmVề, 671775, 0, 0, 0, 671775, 0, 0, 0, 11466, Quan Trung, Chưa chia nhóm
LýThếDân, 2393634, 0, 4116, 0, 2470828, 1545, 4116, 0, 17547, Quan Trung, C
baobao, 13846466, 0, 2250, 0, 17889962, 0, 2250, 0, 19940, Quan Trung, C
Longgggggggh, 3107609, 0, 0, 0, 3245601, 0, 0, 0, 8620, Hà Bắc, C
DaThienThieuChu, 8106398, 0, 1050, 0, 9826066, 0, 2982, 0, 17099, Hà Bắc, C
Bidipaint, 18928057, 0, 1750, 0, 25290162, 0, 1942, 0, 20853, Quan Trung, C
ĐinhPhương, 8131771, 0, 1750, 0, 9247142, 0, 2201, 0, 11258, Quan Trung, B
VạnMã, 21601305, 0, 504, 0, 37193405, 0, 5679, 0, 19090, Hà Bắc, A
ChíThiên, 9775890, 0, 1750, 643973, 12199580, 0, 2580, 643973, 16262, Quan Trung, C
Kimito, 2846453, 0, 0, 0, 3974792, 0, 0, 0, 8040, Hà Bắc, A
DâmDâmcônương, 6102220, 0, 0, 0, 14854847, 0, 0, 0, 12339, Hà Bắc, C
BìnhThuận, 13643292, 0, 350, 795509, 16525478, 0, 350, 1053562, 9223, Hà Bắc, C
ThốngLĩnhBang, 3782653, 0, 1400, 0, 5566886, 0, 1400, 0, 11860, Quan Trung, C
HoaHồng, 6038331, 0, 700, 0, 7080286, 0, 1050, 0, 14580, Hà Bắc, C
AlexK, 4088530, 0, 1750, 0, 6529834, 0, 3160, 0, 12572, Quan Trung, B
XiaoXunér, 4432460, 0, 700, 0, 33478847, 0, 700, 0, 18732, Quan Trung, A
Kakashi1, 14643, 0, 0, 0, 2078064, 0, 1764, 0, 5160, Hà Bắc, C
